3093 3
-10.654205 -0.18913269 -0.28970337 
-10.718842 -0.16998291 -0.37828064 
-10.685318 0.04788208 -0.50038147 
-10.579971 0.09577942 -0.7302246 
-10.6949005 -0.16758728 -0.71347046 
-10.864883 -0.47883606 -0.6655884 
-11.080368 -0.5506592 -0.8714905 
-11.063614 -0.33039856 -0.60572815 
-0.1197052 9.787506 1.074997 
-0.21308899 9.801865 1.074997 
-0.26097107 9.732437 1.06781 
-0.27293396 9.694122 1.06781 
-0.24182129 9.670181 1.0797882 
-0.16281128 9.737228 1.063034 
-0.0861969 9.7444 1.0510559 
0.0071868896 9.696518 1.0893555 
0.03352356 9.761169 1.177948 
-0.05267334 9.698914 1.0821838 
-0.05027771 9.660614 1.0726013 
-0.10534668 9.691727 1.0606384 
-0.08380127 9.689331 1.098938 
-0.08380127 9.718063 1.1420288 
-0.13407898 9.727646 1.1420288 
-0.11253357 9.679764 1.1635895 
-0.11013794 9.653427 1.1013336 
-0.0861969 9.701309 1.2354126 
-0.0574646 9.686951 1.1899261 
-0.03829956 9.722855 1.2210388 
-0.04309082 9.703705 1.2138672 
-0.03112793 9.701309 1.1444244 
-0.07661438 9.66301 1.1516113 
-0.08140564 9.689331 1.1156921 
-0.07661438 9.672577 1.0462646 
-0.06942749 9.658218 0.9935913 
0.04548645 9.641449 1.0654144 
0.08859253 9.658218 0.9624634 
0.15802002 9.64624 1.0702057 
0.23703003 9.612717 1.019928 
0.21308899 9.66301 1.0462646 
0.22026062 9.603149 1.0295105 
0.23942566 9.629486 1.0702057 
0.2561798 9.612717 1.0103607 
0.21069336 9.591171 1.0175323 
0.1484375 9.557663 1.1204834 
0.13407898 9.576813 1.098938 
0.06225586 9.576813 1.098938 
0.05267334 9.569626 1.2282257 
0.07182312 9.617508 1.1899261 
-0.011978149 9.631882 1.1324615 
0.011978149 9.610336 1.1109161 
-0.03352356 9.667786 1.06781 
-0.01675415 9.713287 1.0414734 
-0.08380127 9.641449 0.9816284 
-0.11730957 9.672577 0.99838257 
